utgdag,kaupverd,nuvirdi,ist120,ibm2,ib2m2,ib3m2,rism2,bilskurm2,geymm2,svalm2,haednr,fjibmhl,top_floor,two_storey,storeys_3,lyftuhus,age_studull,bath_fixtures,fjbilsk,lodpflm,innig_factor,nybygging,fjarmalastofnunselur,hverfi,gata
1/8/2014,25500,25321,1200,"61,3",0,0,0,0,"18,2",0,2,3,0,0,0,0,45,2,0,80,1,0,0,11,0
1/19/2014,25500,25494,1200,"77,3",0,0,0,0,0,"3,4",3,9,0,0,0,0,45,2,0,33,"0,89",0,0,11,0
1/17/2014,24500,24500,1200,73,0,0,0,0,"4,4","4,1",1,9,0,0,0,0,45,3,0,"30,1",1,0,0,11,0
1/23/2014,30300,30226,1200,"61,4",0,0,13,0,"6,9","11,2",3,6,0,0,0,0,8,2,1,"60,7",1,0,0,11,0
2/6/2014,37700,36759,1200,"120,3",0,0,0,0,"7,2","8,6",2,3,0,0,0,0,11,2,0,65,1,0,0,11,0
1/30/2014,26000,25550,1200,"65,3",0,0,0,0,"7,7","6,6",5,39,1,0,0,1,11,2,1,51,1,0,0,11,0
2/8/2014,34000,33722,1200,"82,2",0,0,0,0,"8,3","4,5",2,39,0,0,0,1,11,2,1,57,1,0,0,11,0
2/8/2014,20500,19661,1200,51,0,"49,5",0,0,"3,3",0,2,5,0,1,0,0,45,2,0,48,"0,89",0,0,11,0
2/14/2014,21600,21589,1200,"50,8",0,0,0,0,0,"6,5",3,5,0,0,0,0,28,2,0,26,"1,04",0,0,11,0
2/14/2014,21000,20958,1200,"50,8",0,0,0,0,0,"6,5",2,5,0,0,0,0,28,2,0,26,"0,96",0,0,11,0
2/22/2014,14900,14701,1200,"30,8",0,0,0,0,0,"14,6",3,8,0,0,0,0,42,2,0,70,1,0,0,11,0
2/21/2014,35000,34938,1200,"90,3",0,0,0,"40,5",5,0,3,5,0,0,0,0,45,2,0,86,"0,91",0,0,11,0
3/5/2014,33900,33859,1200,"101,2",0,0,"4,5",0,"5,1",0,1,3,0,1,0,0,45,3,0,82,1,0,0,11,0
4/2/2014,21500,21494,1200,"54,8",0,0,0,0,8,0,2,8,0,0,0,0,45,2,0,24,"1,07",0,0,11,0
4/25/2014,30000,29972,1200,"93,2",0,0,0,0,"25,8","2,8",2,3,0,0,0,0,45,2,0,90,1,0,0,11,0
5/7/2014,29500,29459,1200,"59,1",0,0,"2,2",0,14,"2,8",2,5,0,0,0,0,45,2,0,56,1,0,0,11,0
5/21/2014,34000,33580,1200,"103,8",0,0,0,0,"4,2","3,4",2,7,0,0,0,0,45,2,0,62,1,0,0,11,0
5/25/2014,22500,22377,1200,"57,9",0,0,0,0,"15,9",0,2,5,0,0,0,0,45,2,0,43,1,0,0,11,0
6/7/2014,28000,28000,1200,"77,1",0,0,0,0,"8,4","2,2",4,9,0,0,0,0,45,2,0,38,1,0,0,11,0
6/18/2014,29000,25382,1200,"72,9",0,0,0,0,"8,2",0,4,4,0,0,0,0,45,3,0,55,"1,01",0,0,11,0
6/27/2014,31500,31262,1200,"98,4",0,0,0,0,"5,8","3,9",1,7,0,0,0,0,45,2,0,49,1,0,0,11,0
6/15/2014,30500,30479,1200,82,0,0,0,0,16,0,1,3,0,0,0,0,45,2,0,"78,4",1,0,0,11,0
7/11/2014,25900,25818,1200,"71,1","71,1",0,0,0,0,0,0,2,0,0,0,0,45,2,0,86,1,0,0,11,0
8/9/2014,18500,17838,1200,"31,8",0,"31,8","12,6",0,8,0,3,3,0,0,0,0,45,2,0,39,1,0,0,11,0
8/16/2014,33800,33787,1200,"83,8",0,"81,2",0,0,0,0,3,6,0,1,0,0,45,2,0,49,"0,97",0,0,11,0
8/30/2014,24600,24218,1200,67,0,0,0,0,0,0,1,6,0,0,0,0,26,2,0,52,"1,04",0,0,11,0
9/6/2014,33000,32570,1200,"117,7",0,0,0,0,0,"1,5",3,9,0,0,0,0,45,2,0,48,"0,93",0,0,11,0
8/30/2014,18000,18000,1200,90,0,0,0,0,0,0,1,10,0,0,0,1,45,2,0,"35,3","1,3",0,1,11,0
9/5/2014,22300,22245,1200,"50,5",0,0,0,0,"22,8",0,1,4,0,0,0,0,45,2,0,21,1,0,0,11,0
9/25/2014,23500,23476,1200,"55,6",0,"55,6",0,0,0,0,4,4,0,0,0,0,45,2,0,48,1,0,0,11,0
9/26/2014,30600,30600,1200,"82,9",0,0,0,0,"3,1","4,1",4,11,0,0,0,1,45,2,0,32,1,0,0,11,0
10/10/2014,18700,18654,1200,"43,4",0,0,0,0,"4,2",0,1,6,0,0,0,0,45,2,0,"28,6",1,0,0,11,0
11/1/2014,22900,22816,1200,52,0,52,5,0,"1,3","2,2",3,7,0,0,0,0,45,2,0,25,1,0,0,11,0
10/26/2014,23500,23493,1200,"58,7",0,"58,7","5,5",0,"7,5","6,1",3,3,0,0,0,0,45,2,0,64,1,0,1,11,0
11/7/2014,23000,22666,1200,"48,2",0,0,"1,5",0,28,0,1,5,0,0,0,0,45,2,0,39,1,0,0,11,0
11/12/2014,24500,24486,1200,"64,4",0,0,0,0,0,0,1,3,0,0,0,0,38,2,0,63,"1,37",0,0,11,0
11/15/2014,36500,36486,1200,"79,5",0,0,0,0,"4,9","5,1",2,5,0,0,0,0,27,2,0,70,1,0,0,11,0
11/20/2014,34000,33870,1200,"77,2",0,0,0,0,0,0,1,6,0,0,0,0,28,2,0,80,"1,04",0,0,11,0
12/7/2014,29500,28915,1200,"70,4",0,"70,4","16,1",0,"13,6",0,3,3,0,0,0,0,45,2,0,68,1,0,0,11,0
12/31/2014,35900,35317,1200,"88,7",0,0,0,0,"10,7","2,2",2,8,0,0,0,0,45,2,0,42,1,0,0,11,0
1/11/2015,53000,52959,1200,"144,5",0,0,0,"23,1","6,6","5,9",1,2,0,0,0,0,45,3,0,177,1,0,0,11,0
1/29/2015,35900,32310,1200,"96,5",0,0,0,0,"4,9","8,7",2,6,0,0,0,0,41,3,1,66,1,0,0,11,0
1/29/2015,40900,37299,1200,"159,1","106,3",0,0,0,0,0,1,3,0,1,0,0,45,4,0,48,1,0,0,11,0
2/15/2015,25700,25689,1200,"79,2","79,2",0,0,0,0,0,0,6,0,0,0,0,45,2,0,31,1,0,0,11,0
2/7/2015,28000,27945,1200,60,0,0,0,0,"7,6",0,1,8,0,0,0,0,43,2,0,116,1,0,0,11,0
2/8/2015,22900,22831,1200,"51,2",0,0,0,0,6,0,1,8,0,0,0,0,45,2,0,22,"1,07",0,0,11,0
