utgdag,kaupverd,nuvirdi,ist120,ibm2,ib2m2,ib3m2,rism2,bilskurm2,geymm2,two_livunits,two_storey,storeys_3,age_studull,not_concrete,stud1house,bath_fixtures,fjbilsk,lodpflm,landratio,innig_factor,utig_factor,fjarmalastofnunselur,hverfi,gata
3/6/2014,59000,58138,1111,"177,6","69,2",0,"15,2",0,0,0,0,1,14,"0,5","1,112",4,0,317,"0,498",1,1,0,11,0
5/4/2014,58500,58210,1111,"152,1",0,"29,5","37,2",0,"14,4",0,0,1,40,0,"1,068",4,0,160,"0,252",1,1,0,11,0
6/13/2014,62600,62165,1111,"206,7","75,5","55,7",0,0,"8,4",0,0,1,40,1,"1,175",5,0,"236,1","0,371",1,"0,96",0,11,0
6/13/2014,40700,39870,1121,"103,5","36,5",30,0,0,0,0,0,1,40,0,1,3,0,103,"0,162","0,94","0,89",0,11,0
8/1/2014,57000,56801,1111,"128,8",0,"13,8","15,2",0,"9,5",0,0,1,40,"0,5","1,274",4,0,216,"0,34",1,1,0,11,0
9/25/2014,70000,69268,1111,"140,2",0,0,0,"25,2","70,1",0,1,0,40,1,"1,009",5,0,379,"0,596","1,1",1,0,11,0
10/5/2014,52000,51533,1125,97,0,0,0,0,"49,5",0,1,0,40,"0,5",1,3,0,267,"0,42","1,01","1,11",0,11,3
10/10/2014,52000,51850,1122,"179,8",47,"38,8",0,0,0,0,0,1,40,0,1,3,0,92,"0,145","0,85","0,96",0,11,0
10/31/2014,85000,84821,1111,"205,4","70,2",0,0,28,0,0,0,1,40,0,"1,051",4,0,364,"0,572","1,08","0,96",0,11,0
4/2/2015,37600,36960,1126,"94,6",0,"25,4","12,8",0,"6,9",0,1,0,40,0,1,4,0,174,"0,274",1,1,0,11,0
7/1/2015,46500,46160,1121,98,"40,8","10,6",0,0,0,0,0,1,40,"0,5",1,5,0,220,"0,346","1,01",1,1,11,0
8/22/2015,44000,44000,1121,65,0,0,0,0,0,0,0,0,40,1,1,2,0,227,"0,357","1,28",1,0,11,0
10/9/2015,52000,52000,1121,"118,2",0,0,0,0,0,1,0,0,40,0,1,3,0,79,"0,124","1,08",1,1,11,0
12/13/2015,42000,41975,1121,"106,6","37,9","30,8",0,0,0,0,0,1,40,0,1,4,0,103,"0,162","1,1",1,0,11,0
3/20/2016,44600,44567,1121,83,0,0,"3,2",0,"14,8",0,0,0,40,1,1,2,0,201,"0,316",1,1,0,11,0
4/17/2016,26500,27065,1126,"59,4","59,4",0,0,0,0,0,0,0,40,"0,5",1,3,0,82,"0,129",1,1,0,11,0
4/20/2016,65000,64762,1111,"194,6","70,3",0,0,0,0,0,0,1,40,0,"1,024",6,0,420,"0,66",1,1,0,11,3
